region;nombre_ocupacion;avisos;vacantes;profesional;tecnico_sup;media;basica;sin_info_educacion;completa;parcial;remota;otras;sin_info_modalidad;salario_nacional_25;salario_nacional_75;salario_regional_25;salario_regional_75;anios_exp_nacional;anios_exp_regional
Antofagasta;Abogados;75;1,0;80;16;;;4;68;12;1;;17;1200000;1598000;;;2.4;0.0
Antofagasta;Administrador_de_Sistemas;150;1,1;17;53;17;;13;59;2;;7;29;1000000;1200000;;;2.2;2.5
Antofagasta;Agentes_de_aduana;64;1,2;;58;27;;16;80;;2;;17;792000;900000;;;1.7;1.3
Antofagasta;Agentes_de_seguros_y_ejecutivos_de_fondos_de_pensiones;263;2,7;5;20;48;;27;45;7;6;7;34;800000;1000000;775000;900000;1.4;1.5
Antofagasta;Agentes_inmobiliarios;33;1,1;15;27;33;;24;67;3;12;3;15;975000;1081250;;;1.9;0.0
Antofagasta;Agentes_responsables_de_adquisiciones;384;1,0;30;26;23;;21;60;2;;;35;1000000;1200000;1250000;1443750;2.2;3.2
Antofagasta;Agricultores_y_trabajadores_calificados_de_huertas__invernaderos__viveros_y_jard;75;6,1;;11;80;;7;49;1;;4;46;650000;650000;;;1.1;1.3
Antofagasta;Analista_QA;51;1,0;24;37;20;;20;53;2;6;;39;1050000;1325000;;;2.2;2.2
Antofagasta;Analista_de_Sistemas;71;1,0;30;46;23;;1;48;1;4;24;23;1122500;1300000;;;2.3;2.1
Antofagasta;Analista_de_Software;63;1,0;37;48;3;;13;60;;5;8;27;1000000;1200000;;;2.0;2.5
Antofagasta;Analistas_financieros;77;1,1;68;25;;;8;66;1;;10;18;1200000;1500000;;;2.1;2.3
Antofagasta;Arquitecto_TI;2;1,0;;;;;;;;;;;2375000;2750000;;;3.6;0.0
Antofagasta;Arquitectos;92;1,0;75;7;2;;15;76;3;3;;16;1200000;1487500;;;3.2;4.8
Antofagasta;Auxiliares_de_aseo_de_oficinas__hoteles_y_otros_establecimientos;1.438;1,3;;3;50;18;29;43;12;;16;30;525000;550000;550000;637500;1.1;1.5
Antofagasta;Auxiliares_y_ayudantes_de_registros_de_contabilidad_y_c_lculo_de_costos;303;1,2;0;40;21;;39;78;7;;1;14;600000;700000;;;1.5;1.5
Antofagasta;Ayudantes_de_cocina;754;1,7;;20;49;2;26;36;11;;24;29;550000;600000;587500;600000;1.1;1.4
Antofagasta;B_rmanes;37;1,0;;3;83;;14;61;22;;8;8;580000;600000;;;1.2;0.0
Antofagasta;Bomberos_de_gasolineras;44;1,0;;;95;;2;57;;;39;5;;;;;1.0;0.0
Antofagasta;Cajeros_de_bancos_y_de_oficinas_de_correo;266;1,5;;24;48;;27;50;13;;2;35;555000;600000;550000;600000;1.0;1.1
Antofagasta;Cajeros_de_comercio;355;1,2;;;98;;2;29;34;0;;36;500000;530000;;;1.0;0.9
Antofagasta;Carniceros_y_pescaderos;9;1,1;;;;;;;;;;;;;;;1.1;0.0
Antofagasta;Carpinteros_de_obra;150;2,5;;;88;;9;66;;;17;17;712500;760000;;;1.7;2.1
Antofagasta;Chapistas_y_caldereros;45;1,3;;;;;47;42;2;;9;47;;;;;1.7;0.0
Antofagasta;Chefs;68;1,0;;96;;;4;46;;;37;18;1218750;1300000;;;2.5;3.3
Antofagasta;Chief_Technical_Officer;21;1,0;;;;;;;;;;;;;;;2.7;0.0
Antofagasta;Cobradores;46;1,2;3;46;19;;32;61;;4;4;30;800000;950000;;;1.7;0.0
Antofagasta;Cocineros;344;1,4;;33;45;;22;49;8;;15;27;600000;650000;;;1.5;2.5
Antofagasta;Cocineros_de_comida_r_pida;150;2,5;;;99;1;5;28;67;;;5;;;;;0.9;0.0
Antofagasta;Community_Manager;19;1,1;;;;;;;;;;;1000000;1200000;;;1.7;0.0
Antofagasta;Conductores_de_autom_viles__taxis_y_camionetas;2.336;1,2;;24;70;;6;53;1;;19;27;700000;750000;800000;968750;1.8;2.2
Antofagasta;Conductores_de_buses_y_trolebuses;37;1,0;;3;95;;3;81;;;5;14;;;;;1.9;0.0
Antofagasta;Conductores_de_camiones_pesados_y_de_alto_tonelaje;1.357;1,2;;9;81;;9;70;1;;13;17;1006250;1100000;1060000;1151375;2.2;2.9
Antofagasta;Conductores_de_motocicletas;50;1,2;;;100;;2;66;32;;;2;;;;;0.9;0.0
Antofagasta;Contadores;273;1,3;43;31;2;;24;73;2;6;2;17;992500;1237500;900000;1300000;2.8;3.1
Antofagasta;Data_Analyst;82;1,0;23;35;30;;13;40;7;5;21;27;1000000;1200000;;;1.8;2.1
Antofagasta;Data_Engineer;22;1,0;;;;;;;;;;;1287500;1843750;;;2.3;0.0
Antofagasta;Data_Scientist;28;1,0;;;;;;;;;;;1200000;1500000;;;2.2;0.0
Antofagasta;Delineantes_y_dibujantes_t_cnicos;195;1,1;31;39;12;;18;65;1;;11;24;1000000;1120000;1400000;1500000;2.7;4.3
Antofagasta;Desarrollador_Back_End;86;1,2;9;55;19;;17;29;3;7;8;52;900000;1300000;;;2.3;2.1
Antofagasta;Desarrollador_Dise_ador_de_Sistemas;33;1,1;65;32;3;;13;61;;;26;13;1675000;1700000;;;2.6;0.0
Antofagasta;Desarrollador_Front_End;22;1,5;;;;;;;;;;;1500000;1668750;;;2.5;0.0
Antofagasta;Desarrollador_Full_Stack;19;1,1;;;;;;;;;;;1350000;1800000;;;2.7;0.0
Antofagasta;Desarrollador_de_Software;49;1,3;31;49;;;20;39;;10;2;49;1300000;1687500;;;2.3;2.9
Antofagasta;Digitadores_de_datos;56;1,1;;9;70;;21;41;;;11;48;600000;600000;;;1.2;1.4
